City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Mwingi,KE,1/23/2022 21:38,-0.9344,38.0601,66.51,65,87,4.34
123,Taltal,CL,1/23/2022 21:38,-25.4,-70.4833,68.11,69,74,5.35
124,Cape Town,ZA,1/23/2022 21:35,-33.9258,18.4232,69.28,88,75,12.66
125,Yulara,AU,1/23/2022 21:38,-25.2406,130.9889,71.44,64,0,9.22
126,Araure,VE,1/23/2022 21:38,9.5601,-69.2148,89.15,40,51,0.69
127,Muswellbrook,AU,1/23/2022 21:38,-32.2667,150.9,69.33,73,98,5.93
128,Batticaloa,LK,1/23/2022 21:38,7.7102,81.6924,72.43,79,90,5.75
129,Cazones,MX,1/23/2022 21:38,20.7167,-97.3167,62.4,88,100,4.61
130,Nikolskoye,RU,1/23/2022 21:38,59.7035,30.7861,26.87,94,94,8.37
131,Maryborough,AU,1/23/2022 21:38,-25.5333,152.7,72.1,62,73,3.47
132,Half Moon Bay,US,1/23/2022 21:38,37.4636,-122.4286,67.62,48,0,1.01
133,Katsuura,JP,1/23/2022 21:38,35.1333,140.3,45.1,80,100,14.5
134,Hilo,US,1/23/2022 21:35,19.7297,-155.09,79.11,71,40,8.05
135,Garissa,KE,1/23/2022 21:38,-0.4536,39.6401,77.38,66,1,8.05
136,Carnarvon,AU,1/23/2022 21:38,-24.8667,113.6333,78.87,69,7,20.71
137,Gympie,AU,1/23/2022 21:38,-26.1898,152.665,75.31,66,92,2.93
138,Bol,TD,1/23/2022 21:38,13.4586,14.7147,69.62,31,4,16.96
139,Ribeira Grande,PT,1/23/2022 21:38,38.5167,-28.7,59.4,63,20,10.36
140,Batagay,RU,1/23/2022 21:39,67.6333,134.6333,-20.54,98,100,3.13
141,Sorong,ID,1/23/2022 21:39,-0.8833,131.25,78.01,87,100,6.29
142,Kruisfontein,ZA,1/23/2022 21:39,-34.0033,24.7314,70.88,45,0,5.46
143,Havelock,US,1/23/2022 21:34,34.8791,-76.9013,46.63,71,0,4
